time,NDVI
"Apr 18, 2013",0.417
"May 11, 2013",0.338
"May 27, 2013",0.033
"Jun 5, 2013",0.32
"Jun 12, 2013",0.318
"Jun 21, 2013",0.068
"Jul 7, 2013",0.736
"Jul 14, 2013",0.058
"Jul 23, 2013",0.803
"Jul 30, 2013",0.722
"Aug 15, 2013",0.327
"Aug 24, 2013",0.635
"Sep 9, 2013",0.217
"Sep 16, 2013",0.034
"Sep 25, 2013",0.082
"Oct 2, 2013",0.232
"Oct 18, 2013",0.162
"Oct 27, 2013",0.043
"Nov 3, 2013",0.168
"Nov 12, 2013",0.097
"Dec 5, 2013",0.048
"Jan 15, 2014",0.393
"Jan 31, 2014",0.199
"Feb 16, 2014",0.27
"Feb 23, 2014",0.528
"Mar 11, 2014",0.064
"Mar 20, 2014",0.464
"Mar 27, 2014",0.333
"Apr 5, 2014",0.04
"Apr 12, 2014",0.555
"Apr 21, 2014",0.041
"May 7, 2014",0.142
"May 14, 2014",0.103
"May 30, 2014",0.759
"Jun 8, 2014",0.669
"Jun 15, 2014",0.518
"Jun 24, 2014",0.188
"Jul 1, 2014",0.667
"Jul 10, 2014",0.652
"Jul 17, 2014",0.355
"Jul 26, 2014",0.13
"Aug 2, 2014",0.258
"Aug 11, 2014",0.254
"Aug 18, 2014",0.057
"Aug 27, 2014",0.253
"Sep 3, 2014",0.208
"Sep 19, 2014",0.238
"Sep 28, 2014",0.34
"Oct 5, 2014",0.559
"Oct 14, 2014",0.784
"Nov 6, 2014",0.689
"Nov 15, 2014",0.194
"Nov 22, 2014",0.369
"Dec 8, 2014",0.401
"Jan 18, 2015",0.076
"Feb 19, 2015",0.072
"Feb 26, 2015",0.249
"Mar 7, 2015",0.119
"Mar 23, 2015",0.37
"Mar 30, 2015",0.408
"Apr 8, 2015",0.161
"Apr 15, 2015",0.278
"Apr 24, 2015",0.242
"May 1, 2015",0.142
"May 10, 2015",0.316
"May 17, 2015",0.039
"Jun 2, 2015",0.099
"Jun 11, 2015",0.369
"Jun 18, 2015",0.148
"Jul 4, 2015",0.663
"Jul 20, 2015",0.801
"Jul 29, 2015",0.674
"Aug 5, 2015",0.776
"Aug 14, 2015",0.147
"Aug 21, 2015",0.674
"Aug 30, 2015",0.371
"Sep 6, 2015",0.038
"Oct 1, 2015",0.197
"Nov 2, 2015",0.254
"Nov 9, 2015",0.086
"Nov 18, 2015",0.159
"Dec 27, 2015",0.146
"Jan 21, 2016",0.072
"Jan 28, 2016",0.175
"Feb 6, 2016",0.284
"Feb 13, 2016",0.497
"Feb 29, 2016",0.426
"Mar 9, 2016",0.39
"Apr 1, 2016",0.164
"Apr 10, 2016",0.433
"Apr 17, 2016",0.332
"Apr 26, 2016",0.436
"May 3, 2016",0.286
"May 12, 2016",0.756
"May 19, 2016",0.509
"May 28, 2016",0.613
"Jun 4, 2016",0.643
"Jun 20, 2016",0.698
"Jun 29, 2016",0.068
"Jul 6, 2016",0.39
"Jul 22, 2016",0.172
"Aug 7, 2016",0.078
"Aug 16, 2016",0.252
"Aug 23, 2016",0.225
"Sep 1, 2016",0.229
"Sep 8, 2016",0.231
"Sep 24, 2016",0.631
"Oct 10, 2016",0.74
"Nov 4, 2016",0.481
"Nov 11, 2016",0.074
"Nov 27, 2016",0.636
"Dec 6, 2016",0.136
"Dec 29, 2016",0.417
"Jan 14, 2017",0.172
"Feb 15, 2017",0.251
"Feb 24, 2017",0.178
"Mar 3, 2017",0.135
"Mar 12, 2017",0.176
"Mar 28, 2017",0.265
"Apr 4, 2017",0.201
"Apr 20, 2017",0.26
"May 6, 2017",0.175
"May 15, 2017",0.199
"May 22, 2017",0.246
"May 31, 2017",0.038
"Jun 7, 2017",0.033
"Jun 23, 2017",0.477
"Jul 9, 2017",0.14
"Jul 18, 2017",0.832
"Aug 3, 2017",0.825
"Aug 10, 2017",0.167
"Aug 19, 2017",0.063
"Aug 26, 2017",0.249
"Sep 4, 2017",0.766
"Sep 11, 2017",0.777
"Sep 27, 2017",0.215
"Oct 13, 2017",0.175
"Oct 29, 2017",0.087
"Nov 7, 2017",0.139
"Nov 14, 2017",0.261
"Nov 23, 2017",0.159
"Dec 16, 2017",0.286
"Jan 1, 2018",0.15
"Jan 10, 2018",0.124
"Feb 18, 2018",0.258
"Feb 27, 2018",0.211
"Mar 6, 2018",0.208
"Mar 15, 2018",0.27
"Mar 31, 2018",0.066
"Apr 7, 2018",0.336
"Apr 16, 2018",0.132
"Apr 23, 2018",0.447
"May 2, 2018",0.697
"May 9, 2018",0.669
"May 25, 2018",0.093
"Jun 3, 2018",0.236
"Jun 10, 2018",0.076
"Jun 26, 2018",0.047
"Jul 5, 2018",0.465
"Jul 12, 2018",0.098
"Jul 21, 2018",0.088
"Jul 28, 2018",0.091
"Aug 6, 2018",0.28
"Aug 13, 2018",0.039
"Aug 22, 2018",0.239
"Aug 29, 2018",0.233
"Sep 7, 2018",0.213
"Sep 14, 2018",0.417
"Sep 30, 2018",0.801
"Oct 9, 2018",0.764
"Oct 16, 2018",0.066
"Nov 10, 2018",0.041
"Nov 17, 2018",0.761
"Dec 19, 2018",0.061
"Dec 28, 2018",0.05
"Jan 20, 2019",0.54
"Feb 14, 2019",0.281
"Feb 21, 2019",0.037
"Mar 9, 2019",0.049
"Mar 18, 2019",0.322
"Mar 25, 2019",0.048
"Apr 10, 2019",0.185
"Apr 19, 2019",0.176
"May 5, 2019",0.063
"May 12, 2019",0.196
"May 28, 2019",0.054
"Jun 13, 2019",0.24
"Jun 22, 2019",0.499
"Jun 29, 2019",0.782
"Jul 24, 2019",0.72
"Jul 31, 2019",0.429
"Aug 9, 2019",0.105
"Aug 16, 2019",0.088
"Aug 25, 2019",0.325
"Sep 10, 2019",0.202
"Sep 17, 2019",0.068
"Sep 26, 2019",0.121
"Oct 12, 2019",0.043
"Oct 28, 2019",0.224
"Nov 13, 2019",0.018
"Nov 20, 2019",0.055
"Dec 15, 2019",0.322
"Dec 31, 2019",0.088
"Jan 16, 2020",0.39
"Feb 8, 2020",0.06
"Mar 27, 2020",0.391
"Apr 5, 2020",0.523
"Apr 12, 2020",0.634
"Apr 21, 2020",0.713
"Apr 28, 2020",0.177
"May 7, 2020",0.753
"May 14, 2020",0.521
"May 23, 2020",0.093
"May 30, 2020",0.777
"Jun 8, 2020",0.075
"Jun 15, 2020",0.034
"Jun 24, 2020",0.721
"Jul 17, 2020",0.392
"Jul 26, 2020",0.335
"Aug 2, 2020",0.135
"Aug 11, 2020",0.313
"Aug 18, 2020",0.026
"Aug 27, 2020",0.082
"Sep 12, 2020",0.297
"Sep 19, 2020",0.439
"Sep 28, 2020",0.061
"Oct 5, 2020",0.127
"Nov 15, 2020",0.459
"Feb 10, 2021",0.059
"Feb 19, 2021",0.27
"Feb 26, 2021",0.389
"Mar 7, 2021",0.059
"Mar 30, 2021",0.288
"Apr 15, 2021",0.326
"Apr 24, 2021",0.149
"May 1, 2021",0.045
"May 10, 2021",0.281
"May 17, 2021",0.146
"Jun 2, 2021",0.429
"Jun 11, 2021",0.273
"Jun 18, 2021",0.439
"Jun 27, 2021",0.669
"Jul 4, 2021",0.068
"Jul 13, 2021",0.046
"Jul 20, 2021",0.055
"Jul 29, 2021",0.103
"Aug 5, 2021",0.231
"Aug 14, 2021",0.811
"Aug 21, 2021",0.214
"Sep 6, 2021",0.723
"Sep 22, 2021",0.09
"Oct 1, 2021",0.755
"Oct 8, 2021",0.696
"Oct 17, 2021",0.182
"Oct 24, 2021",0.202
"Nov 2, 2021",0.238
"Nov 9, 2021",0.225
"Nov 18, 2021",0.098
